timestamp,page,records_fetched,records_inserted,elapsed_sec
2025-05-11T11:27:18.310450,38,4000,4000,12.9
2025-05-11T11:27:30.656716,39,4000,4000,12.35
2025-05-11T11:27:39.574280,40,4000,4000,8.92
2025-05-11T11:27:48.371693,41,4000,4000,8.8
2025-05-11T11:27:57.581583,42,4000,4000,9.21
2025-05-11T11:28:06.535635,43,4000,4000,8.95
2025-05-11T11:28:15.462220,44,4000,4000,8.93
2025-05-11T11:28:24.306050,45,4000,4000,8.84
2025-05-11T11:28:33.746023,46,4000,4000,9.44
2025-05-11T11:28:42.778194,47,4000,4000,9.03
2025-05-11T11:28:52.215126,48,4000,4000,9.44
2025-05-11T11:29:01.875225,49,4000,4000,9.66
2025-05-11T11:29:10.810240,50,4000,4000,8.93
2025-05-11T11:29:19.748011,51,4000,4000,8.94
2025-05-11T11:29:28.642434,52,4000,4000,8.89
2025-05-11T11:29:37.791294,53,4000,4000,9.15
2025-05-11T11:29:46.722780,54,4000,4000,8.93
2025-05-11T11:29:55.922615,55,4000,4000,9.2
2025-05-11T11:30:05.362094,56,4000,4000,9.44
2025-05-11T11:30:17.289915,57,4000,4000,11.93
2025-05-11T11:30:28.481892,58,4000,4000,11.19
2025-05-11T11:30:38.460971,59,4000,4000,9.98
2025-05-11T11:30:48.601100,60,4000,4000,10.14
2025-05-11T11:30:58.911100,61,4000,4000,10.31
2025-05-11T11:31:08.702890,62,4000,4000,9.79
2025-05-11T11:31:17.899206,63,4000,4000,9.2
2025-05-11T11:31:27.215495,64,4000,4000,9.32
2025-05-11T11:31:36.236552,65,4000,4000,9.02
2025-05-11T11:31:45.475133,66,4000,4000,9.24
2025-05-11T11:31:55.298046,67,4000,4000,9.82
2025-05-11T11:32:04.347626,68,4000,4000,9.05
2025-05-11T11:32:13.442239,69,4000,4000,9.09
2025-05-11T11:32:22.251535,70,4000,4000,8.81
2025-05-11T11:32:31.290641,71,4000,4000,9.04
2025-05-11T11:32:41.076702,72,4000,4000,9.79
2025-05-11T11:32:52.842526,73,4000,4000,11.77
2025-05-11T11:33:05.092952,74,4000,4000,12.25
2025-05-11T11:33:14.214226,75,4000,4000,9.12
2025-05-11T11:33:23.430774,76,4000,4000,9.22
2025-05-11T11:33:32.443020,77,4000,4000,9.01
2025-05-11T11:33:41.246618,78,4000,4000,8.8
2025-05-11T11:33:50.245566,79,4000,4000,9.0
2025-05-11T11:34:02.022186,80,4000,4000,11.78
2025-05-11T11:34:13.210000,81,4000,4000,11.19
2025-05-11T11:34:23.315807,82,4000,4000,10.11
2025-05-11T11:34:32.902040,83,4000,4000,9.59
2025-05-11T11:34:42.091891,84,4000,4000,9.19
2025-05-11T11:34:51.261307,85,4000,4000,9.17
2025-05-11T11:35:00.485684,86,4000,4000,9.22
2025-05-11T11:35:09.765381,87,4000,4000,9.28
2025-05-11T11:35:19.895077,88,4000,4000,10.13
2025-05-11T11:35:29.537018,89,4000,4000,9.64
2025-05-11T11:35:39.184847,90,4000,4000,9.65
2025-05-11T11:35:48.802911,91,4000,4000,9.62
2025-05-11T11:35:58.524314,92,4000,4000,9.72
2025-05-11T11:36:09.097859,93,4000,4000,10.57
2025-05-11T11:36:19.322354,94,4000,4000,10.22
2025-05-11T11:36:28.881012,95,4000,4000,9.56
2025-05-11T11:36:37.946019,96,4000,4000,9.06
2025-05-11T11:36:47.194031,97,4000,4000,9.25
2025-05-11T11:36:56.284542,98,4000,4000,9.09
2025-05-11T11:37:05.934491,99,4000,4000,9.65
2025-05-11T11:37:15.118374,100,4000,4000,9.18
2025-05-11T11:37:24.322769,101,4000,4000,9.2
2025-05-11T11:37:34.062767,102,4000,4000,9.74
2025-05-11T11:37:43.338882,103,4000,4000,9.28
2025-05-11T11:37:52.955567,104,4000,4000,9.62
2025-05-11T11:38:02.325453,105,4000,4000,9.37
2025-05-11T11:38:11.751955,106,4000,4000,9.43
2025-05-11T11:38:21.244711,107,4000,4000,9.49
2025-05-11T11:38:31.109466,108,4000,4000,9.86
2025-05-11T11:38:40.470273,109,4000,4000,9.36
2025-05-11T11:38:50.317116,110,4000,4000,9.85
2025-05-11T11:38:59.681183,111,4000,4000,9.36
2025-05-11T11:39:09.472666,112,4000,4000,9.79
2025-05-11T11:39:18.895764,113,4000,4000,9.42
2025-05-11T11:39:28.465388,114,4000,4000,9.57
2025-05-11T11:39:37.794400,115,4000,4000,9.33
2025-05-11T11:39:46.969881,116,4000,4000,9.18
2025-05-11T11:39:56.245866,117,4000,4000,9.28
2025-05-11T11:40:05.758415,118,4000,4000,9.51
2025-05-11T11:40:15.926183,119,4000,4000,10.17
2025-05-11T11:40:26.267243,120,4000,4000,10.34
2025-05-11T11:40:35.905464,121,4000,4000,9.64
2025-05-11T11:40:45.965043,122,4000,4000,10.06
2025-05-11T11:40:56.573641,123,4000,4000,10.61
2025-05-11T11:41:06.561139,124,4000,4000,9.99
2025-05-11T11:41:16.250611,125,4000,4000,9.69
2025-05-11T11:41:25.801079,126,4000,4000,9.55
2025-05-11T11:41:35.654646,127,4000,4000,9.85
2025-05-11T11:41:44.979188,128,4000,4000,9.32
2025-05-11T11:41:54.348967,129,4000,4000,9.37
2025-05-11T11:42:03.841178,130,4000,4000,9.49
2025-05-11T11:42:13.200237,131,4000,4000,9.36
2025-05-11T11:42:24.309819,132,4000,4000,11.11
2025-05-11T11:42:35.597370,133,4000,4000,11.29
2025-05-11T11:42:45.066538,134,4000,4000,9.47
2025-05-11T11:42:54.596691,135,4000,4000,9.53
2025-05-11T11:43:04.040865,136,4000,4000,9.44
2025-05-11T11:43:13.489104,137,4000,4000,9.45
2025-05-11T11:43:23.149395,138,4000,4000,9.66
2025-05-11T11:43:32.749733,139,4000,4000,9.6
2025-05-11T11:43:42.424144,140,4000,4000,9.67
2025-05-11T11:43:52.053020,141,4000,4000,9.63
2025-05-11T11:44:02.135789,142,4000,4000,10.08
2025-05-11T11:44:11.844705,143,4000,4000,9.71
2025-05-11T11:44:25.305562,144,4000,4000,13.46
2025-05-11T11:44:34.762933,145,4000,4000,9.46
2025-05-11T11:44:44.380605,146,4000,4000,9.62
2025-05-11T11:44:54.094884,147,4000,4000,9.71
2025-05-11T11:45:03.800404,148,4000,4000,9.71
2025-05-11T11:45:18.393448,149,4000,4000,14.59
2025-05-11T11:45:29.396541,150,4000,4000,11.0
2025-05-11T11:45:39.369492,151,4000,4000,9.97
2025-05-11T11:45:48.880300,152,4000,4000,9.51
2025-05-11T11:45:58.139512,153,4000,4000,9.26
2025-05-11T11:46:07.700275,154,4000,4000,9.56
2025-05-11T11:46:17.163279,155,4000,4000,9.46
2025-05-11T11:46:26.640054,156,4000,4000,9.48
2025-05-11T11:46:36.020185,157,4000,4000,9.38
2025-05-11T11:46:48.136024,158,4000,4000,12.12
2025-05-11T11:46:52.355828,159,1937,1937,4.22
2025-07-08T20:11:35.078759,1,4000,358,11.94
2025-07-08T20:11:45.944851,2,4000,290,10.87
2025-07-08T20:11:56.749489,3,4000,425,10.8
